Bug ID,Product,Component,Assignee,Status,Resolution,Summary,Changed
56546,Tomcat 8,Catalina,dev,NEW, ---,Improve thread trace logging in WebappClassLoader.clearReferencesThreads(),15/03/2019 04:25
37458,Tomcat 5,Catalina,dev,RESOLVED,FIXED,Datarace on org.apache.catalina.loader.WebappClassLoader,03/06/2009 14:37
37464,Tomcat 5,Catalina,dev,RESOLVED,INVALID,SEVERE: Socket error caused by remote host,11/11/2005 00:16
60195,Tomcat Modules,jdbc-pool,dev,NEW, ---,No javadoc in Maven Central,14/01/2020 09:49
46767,Tomcat Connectors,mod_jk,dev,NEW, ---,mod_jk to send DECLINED in case no fail-over tomcats available/configured,16/06/2019 14:40
47327,Tomcat Connectors,mod_jk,dev,NEW, ---,Return tomcat authenticated user back to mod_jk (AJP improvement),16/06/2019 14:22
47750,Tomcat Connectors,isapi,dev,NEW, ---,ISAPI: Loss of worker settings when changing via jkstatus,22/12/2014 19:48
37523,Tomcat 5,Unknown,dev,RESOLVED,WONTFIX,Virtual Host ROOT context ignores docBase value,16/11/2005 02:15
37524,Tomcat 5,Native:Integration,dev,RESOLVED,INVALID,find mindepth and maxdepth Parameters in relink Script,16/11/2005 12:29
48830,Tomcat Connectors,isapi,dev,NEW, ---,IIS shutdown blocked in endpoint service when server doesn't respond,08/12/2017 15:07
49822,Tomcat Connectors,Common,dev,NEW, ---,Add hash lb worker method,01/09/2017 14:42
49903,Tomcat Connectors,Common,dev,NEW, ---,Make workers file reloadable,30/04/2015 04:34
52483,Tomcat Connectors,mod_jk,dev,NEW, ---,Print JkOptions's options in log file and jkstatus page,16/06/2019 14:43
53940,Tomcat Native,Library,dev,NEW, ---,Added support for new CRL loading after expiration,19/03/2018 13:52
37588,Tomcat 5,Catalina,dev,RESOLVED,FIXED,Creating JNDIRealm through JMX is not correct.,08/11/2006 20:15
37605,Tomcat 5,Unknown,dev,RESOLVED,INVALID,Cannot log in to Tomcat Manager,23/11/2005 04:57
37612,Tomcat 5,Jasper,dev,RESOLVED,FIXED,Jasper's Validator does not include full path of file being compiled in error message,28/11/2005 11:45
54437,Tomcat Modules,jdbc-pool,dev,NEW, ---,Update PoolProperties javadoc for ConnectState interceptor-managed defaults,16/01/2013 20:07
54621,Tomcat Connectors,mod_jk,dev,NEW, ---,[PATCH] custom mod_jk availability checks,16/06/2019 14:27
55078,Tomcat Modules,jdbc-pool,dev,NEW, ---,Configuring a DataSource Resource with dataSourceJNDI does not work as expected,20/06/2013 20:07
55243,Tomcat 8,Catalina,dev,NEW, ---,Add special search string for nested roles,15/03/2019 04:26
55383,Tomcat 8,Documentation,dev,NEW, ---,Improve markup and design of Tomcat's HTML pages,21/10/2017 22:41
55470,Tomcat 7,Catalina,dev,NEW, ---,Help users for ClassNotFoundExceptions during startup [PATCH],11/04/2014 15:12
55477,Tomcat 7,Catalina,dev,NEW, ---,Add a solution to map a realm name to a security role,24/01/2020 18:39
55559,Tomcat 8,Catalina,dev,NEW, ---,UserDatabaseRealm enhacement: may use local JNDI,15/03/2019 04:34
55662,Tomcat Modules,jdbc-pool,dev,NEW, ---,Add a way to set an instance of java.sql.Driver directly on org.apache.tomcat.jdbc.pool.DataSource,07/07/2019 15:57
55675,Tomcat 8,Catalina,dev,NEW, ---,Checking and handling invalid configuration option values,03/08/2016 08:22
37629,Tomcat 5,Unknown,dev,RESOLVED,INVALID,No worker files,29/11/2005 06:10
37647,Tomcat 5,Unknown,dev,RESOLVED,INVALID,<jsp:include ,26/11/2005 08:54
37654,Tomcat 4,Servlet & JSP API,dev,RESOLVED,INVALID,Run struts 1.24,27/11/2005 14:00
56546,Tomcat 8,Catalina,dev,NEW, ---,Improve thread trace logging in WebappClassLoader.clearReferencesThreads(),15/03/2019 04:25
37458,Tomcat 5,Catalina,dev,RESOLVED,FIXED,Datarace on org.apache.catalina.loader.WebappClassLoader,03/06/2009 14:37
