Bug ID,Product,Component,Assignee,Status,Resolution,Summary,Changed
37458,Tomcat 5,Catalina,dev,RESOLVED,FIXED,Datarace on org.apache.catalina.loader.WebappClassLoader,03/06/2009 14:37
37464,Tomcat 5,Catalina,dev,RESOLVED,INVALID,SEVERE: Socket error caused by remote host,11/11/2005 00:16
37471,Tomcat 5,Webapps:Administration,dev,RESOLVED,INVALID,Can not delete a Context from Admin Tool,23/11/2005 02:54
37483,Tomcat 5,Jasper,dev,RESOLVED,FIXED,NPE in JspDocumentParser when processing characters in a tag file,22/11/2005 07:36
37485,Tomcat 5,Unknown,dev,RESOLVED,INVALID,I'd like to run init SQL after JDBC Connection creation in DBCP,25/08/2010 14:55
37487,Tomcat 5,Unknown,dev,RESOLVED,INVALID,UTF8 encoding doesn't work in Tomcat-5.0.28,14/11/2005 10:48
37498,Tomcat 5,Catalina,dev,RESOLVED,FIXED,[PATCH] NPE in org.apache.catalina.core.ContainerBase.removeChild,03/06/2009 14:27
37509,Tomcat 5,Unknown,dev,RESOLVED,FIXED,ClassLoaderLogManager remove '\n' at the end of logging.properties values,08/11/2006 19:05
37515,Tomcat 5,Jasper,dev,RESOLVED,FIXED,smap not generated by JspC when used from Ant for precompilation,03/06/2009 14:47
37516,Tomcat 5,Servlet & JSP API,dev,RESOLVED,INVALID,A committed HttpServletResponse is passed to the doGet() method,16/11/2005 12:59
37518,Tomcat 5,Catalina,dev,RESOLVED,DUPLICATE,JAASRealm can't be used to protect resources,15/11/2005 16:38
37523,Tomcat 5,Unknown,dev,RESOLVED,WONTFIX,Virtual Host ROOT context ignores docBase value,16/11/2005 02:15
37524,Tomcat 5,Native:Integration,dev,RESOLVED,INVALID,find mindepth and maxdepth Parameters in relink Script,16/11/2005 12:29
37529,Tomcat 5,Catalina:Cluster,dev,RESOLVED,FIXED,Tomcat take a long time to stop when configured for clustering,28/11/2005 13:05
37588,Tomcat 5,Catalina,dev,RESOLVED,FIXED,Creating JNDIRealm through JMX is not correct.,08/11/2006 20:15
37605,Tomcat 5,Unknown,dev,RESOLVED,INVALID,Cannot log in to Tomcat Manager,23/11/2005 04:57
37612,Tomcat 5,Jasper,dev,RESOLVED,FIXED,Jasper's Validator does not include full path of file being compiled in error message,28/11/2005 11:45
37629,Tomcat 5,Unknown,dev,RESOLVED,INVALID,No worker files,29/11/2005 06:10
37647,Tomcat 5,Unknown,dev,RESOLVED,INVALID,<jsp:include ,26/11/2005 08:54
37654,Tomcat 4,Servlet & JSP API,dev,RESOLVED,INVALID,Run struts 1.24,27/11/2005 14:00
37458,Tomcat 5,Catalina,dev,RESOLVED,FIXED,Datarace on org.apache.catalina.loader.WebappClassLoader,03/06/2009 14:37
37464,Tomcat 5,Catalina,dev,RESOLVED,INVALID,SEVERE: Socket error caused by remote host,11/11/2005 00:16
